"","comorbidity","N_Control","N_EAC","N_EGJAC","prop_Control","prop_EAC","prop_EGJAC","value"
"1","gerd",6917873,5127,1934,0.674461266854163,0.608185053380783,0.652276559865093,"0"
"2","gerd",1771953,2659,848,0.172757387304745,0.315421115065243,0.286003372681282,"1"
"3","gerd",1567061,644,183,0.152781345841092,0.0763938315539739,0.0617200674536256,"missing"
"4","chf",8179974,6966,2480,0.797510394723077,0.826334519572954,0.836424957841484,"0"
"5","chf",509852,820,302,0.0497082594358308,0.0972716488730724,0.10185497470489,"1"
"6","chf",1567061,644,183,0.152781345841092,0.0763938315539739,0.0617200674536256,"missing"
"7","ctd",8558556,7626,2731,0.834420424052639,0.904626334519573,0.921079258010118,"0"
"8","ctd",131270,160,51,0.0127982301062691,0.0189798339264531,0.0172006745362563,"1"
"9","ctd",1567061,644,183,0.152781345841092,0.0763938315539739,0.0617200674536256,"missing"
"10","dem",8580432,7698,2745,0.836553234914258,0.913167259786477,0.925801011804384,"0"
"11","dem",109394,88,37,0.01066541924465,0.0104389086595492,0.0124789207419899,"1"
"12","dem",1567061,644,183,0.152781345841092,0.0763938315539739,0.0617200674536256,"missing"
"13","diab_c",8080877,6805,2375,0.787848886314142,0.80723606168446,0.801011804384486,"0"
"14","diab_c",608949,981,407,0.0593697678447662,0.116370106761566,0.137268128161889,"1"
"15","diab_c",1567061,644,183,0.152781345841092,0.0763938315539739,0.0617200674536256,"missing"
"16","hiv",8656360,7760,2775,0.843955870821235,0.920521945432977,0.935919055649241,"0"
"17","hiv",33466,26,7,0.00326278333767351,0.00308422301304864,0.00236087689713322,"1"
"18","hiv",1567061,644,183,0.152781345841092,0.0763938315539739,0.0617200674536256,"missing"
"19","mld",8346744,7267,2593,0.813769713949271,0.862040332147094,0.874536256323777,"0"
"20","mld",343082,519,189,0.0334489402096367,0.0615658362989324,0.063743676222597,"1"
"21","mld",1567061,644,183,0.152781345841092,0.0763938315539739,0.0617200674536256,"missing"
"22","msld",8657045,7714,2766,0.844022655216929,0.915065243179122,0.932883642495784,"0"
"23","msld",32781,72,16,0.00319599894197918,0.00854092526690392,0.00539629005059022,"1"
"24","msld",1567061,644,183,0.152781345841092,0.0763938315539739,0.0617200674536256,"missing"
"25","para",8607207,7689,2732,0.839163676074427,0.912099644128114,0.92141652613828,"0"
"26","para",82619,97,50,0.00805497808448119,0.0115065243179122,0.0168634064080944,"1"
"27","para",1567061,644,183,0.152781345841092,0.0763938315539739,0.0617200674536256,"missing"
"28","rd",8210118,7101,2483,0.8004492981155,0.842348754448399,0.83743676222597,"0"
"29","rd",479708,685,299,0.0467693560434077,0.0812574139976275,0.100843170320405,"1"
"30","rd",1567061,644,183,0.152781345841092,0.0763938315539739,0.0617200674536256,"missing"
"31","cd",8049714,6802,2403,0.784810635039657,0.806880189798339,0.810455311973019,"0"
"32","cd",640112,984,379,0.0624080191192513,0.116725978647687,0.127824620573356,"1"
"33","cd",1567061,644,183,0.152781345841092,0.0763938315539739,0.0617200674536256,"missing"
"34","copd",7195392,5249,1865,0.701518111684374,0.622657176749703,0.629005059021922,"0"
"35","copd",1494434,2537,917,0.145700542474534,0.300948991696323,0.309274873524452,"1"
"36","copd",1567061,644,183,0.152781345841092,0.0763938315539739,0.0617200674536256,"missing"
"37","diab_nc",6828034,5164,1804,0.665702371489517,0.612574139976275,0.608431703204047,"0"
"38","diab_nc",1861792,2622,978,0.181516282669391,0.311032028469751,0.329848229342327,"1"
"39","diab_nc",1567061,644,183,0.152781345841092,0.0763938315539739,0.0617200674536256,"missing"
"40","mi",8396400,7226,2593,0.818610948916567,0.85717674970344,0.874536256323777,"0"
"41","mi",293426,560,189,0.0286077052423411,0.066429418742586,0.063743676222597,"1"
"42","mi",1567061,644,183,0.152781345841092,0.0763938315539739,0.0617200674536256,"missing"
"43","pud",8529263,7566,2685,0.831564489303626,0.897508896797153,0.905564924114671,"0"
"44","pud",160563,220,97,0.0156541648552821,0.0260972716488731,0.0327150084317032,"1"
"45","pud",1567061,644,183,0.152781345841092,0.0763938315539739,0.0617200674536256,"missing"
"46","pvd",8017490,6532,2314,0.781668941073447,0.77485172004745,0.78043844856661,"0"
"47","pvd",672336,1254,468,0.0655497130854615,0.148754448398577,0.157841483979764,"1"
"48","pvd",1567061,644,183,0.152781345841092,0.0763938315539739,0.0617200674536256,"missing"
